,Geographic Area,City,Median Income,poverty_rate,share_white,share_black,share_native_american,share_asian,share_hispanic,percent_completed_hs
0,AL,Abanda CDP,11207.0,78.8,67.2,30.2,0.0,0.0,1.6,21.2
1,AL,Abbeville city,25615.0,29.1,54.4,41.4,0.1,1.0,3.1,69.1
2,AL,Adamsville city,42575.0,25.5,52.3,44.9,0.5,0.3,2.3,78.9
3,AL,Addison town,37083.0,30.7,99.1,0.1,0.0,0.1,0.4,81.4
4,AL,Akron town,21667.0,42.0,13.2,86.5,0.0,0.0,0.3,68.6
5,AL,Alabaster city,71816.0,11.2,79.4,13.5,0.4,0.9,9.0,89.3
6,AL,Albertville city,32911.0,26.7,75.9,1.9,0.8,0.5,27.9,72.7
7,AL,Alexander City city,29874.0,30.4,62.2,32.0,0.2,0.9,4.8,78.1
8,AL,Alexandria CDP,56058.0,9.7,87.4,10.2,0.3,0.5,0.9,88.8
9,AL,Aliceville city,21131.0,41.3,22.6,74.9,0.1,0.0,1.2,74.3
10,AL,Allgood town,42009.0,27.7,79.6,0.6,0.3,0.6,49.4,48.1
11,AL,Altoona town,27566.0,27.5,95.8,1.7,0.2,0.2,1.1,66.9
12,AL,Andalusia city,31968.0,24.5,70.5,25.9,0.4,1.0,1.9,81.1
13,AL,Anderson town,34792.0,13.8,97.9,0.0,0.4,0.0,0.7,85.7
14,AL,Anniston city,29681.0,31.7,44.7,51.5,0.3,0.8,2.7,79.8
15,AL,Arab city,40292.0,16.7,96.6,0.1,0.6,0.7,1.7,87.6
16,AL,Ardmore town,35670.0,19.1,94.3,1.9,0.8,0.9,1.3,77.7
17,AL,Argo town,57212.0,8.6,94.1,3.6,0.4,0.3,0.5,87.5
18,AL,Ariton town,24286.0,37.6,78.3,19.2,0.0,0.1,6.0,71.3
19,AL,Arley town,28750.0,31.6,94.4,0.0,0.6,0.3,1.4,80.6
20,AL,Ashford town,42704.0,18.8,79.0,19.5,0.2,0.2,0.8,83.5
21,AL,Ashland town,31438.0,22.4,71.5,24.1,0.3,0.7,5.7,77.9
22,AL,Ashville city,40547.0,28.3,75.8,20.3,0.2,0.3,3.8,77.6
23,AL,Athens city,47542.0,13.0,73.0,17.5,0.6,0.9,8.8,83.4
24,AL,Atmore city,26775.0,24.7,40.0,55.6,1.8,0.3,1.8,73.7
25,AL,Attalla city,37191.0,20.3,81.5,12.7,0.4,0.5,4.7,76.0
26,AL,Auburn city,38342.0,31.8,75.1,16.5,0.3,5.3,2.9,94.3
27,AL,Autaugaville town,24833.0,24.1,31.3,66.8,0.2,0.0,0.8,71.2
28,AL,Avon town,40417.0,22.2,94.7,1.8,1.8,0.0,1.3,82.8
29,AL,Axis CDP,55750.0,6.8,66.8,26.9,3.2,0.1,0.9,79.9
30,AL,Babbie town,41912.0,15.7,96.7,0.0,0.0,1.5,0.2,81.2
31,AL,Baileyton town,31875.0,28.6,96.2,0.2,0.5,0.0,1.5,74.7
32,AL,Bakerhill town,31875.0,19.1,61.6,35.5,0.7,0.0,1.1,72.4
33,AL,Ballplay CDP,37778.0,7.1,97.5,0.1,0.7,0.3,1.0,80.3
34,AL,Banks town,28750.0,38.2,69.3,24.6,2.2,0.0,1.1,73.0
35,AL,Bay Minette city,31576.0,26.3,60.4,35.3,1.0,0.8,1.8,79.1
36,AL,Bayou La Batre city,34583.0,30.1,60.3,12.3,0.4,22.8,2.8,58.5
37,AL,Bear Creek town,35563.0,25.3,97.1,0.1,0.7,0.2,1.8,76.7
38,AL,Beatrice town,18417.0,44.9,23.6,76.1,0.3,0.0,0.0,89.1
39,AL,Beaverton town,31875.0,8.1,95.0,5.0,0.0,0.0,1.0,87.9
40,AL,Belgreen CDP,27750.0,28.8,96.1,0.0,0.0,0.0,3.9,87.0
41,AL,Belk town,28906.0,39.1,95.8,2.8,0.0,0.5,0.9,63.8
42,AL,Bellamy CDP,22132.0,42.9,8.3,90.8,0.0,0.9,1.3,86.5
43,AL,Belle Fontaine CDP,34615.0,36.7,92.3,1.6,0.5,2.3,3.6,91.9
44,AL,Benton town,40577.309523809534,0.0,81.6,18.4,0.0,0.0,0.0,100.0
45,AL,Berry town,25865.0,30.9,90.8,7.4,0.0,0.0,0.8,65.4
46,AL,Bessemer city,29615.0,32.9,24.3,71.2,0.3,0.2,4.1,81.5
47,AL,Billingsley town,41250.0,20.5,86.1,11.1,2.1,0.0,0.7,71.3
