,Geographic Area,City,Median Income
0,AL,Abanda CDP,11207.0
1,AL,Abbeville city,25615.0
2,AL,Adamsville city,42575.0
3,AL,Addison town,37083.0
4,AL,Akron town,21667.0
5,AL,Alabaster city,71816.0
6,AL,Albertville city,32911.0
7,AL,Alexander City city,29874.0
8,AL,Alexandria CDP,56058.0
9,AL,Aliceville city,21131.0
10,AL,Allgood town,42009.0
11,AL,Altoona town,27566.0
12,AL,Andalusia city,31968.0
13,AL,Anderson town,34792.0
14,AL,Anniston city,29681.0
15,AL,Arab city,40292.0
16,AL,Ardmore town,35670.0
17,AL,Argo town,57212.0
18,AL,Ariton town,24286.0
19,AL,Arley town,28750.0
20,AL,Ashford town,42704.0
21,AL,Ashland town,31438.0
22,AL,Ashville city,40547.0
23,AL,Athens city,47542.0
24,AL,Atmore city,26775.0
25,AL,Attalla city,37191.0
26,AL,Auburn city,38342.0
27,AL,Autaugaville town,24833.0
28,AL,Avon town,40417.0
29,AL,Axis CDP,55750.0
30,AL,Babbie town,41912.0
31,AL,Baileyton town,31875.0
32,AL,Bakerhill town,31875.0
33,AL,Ballplay CDP,37778.0
34,AL,Banks town,28750.0
35,AL,Bay Minette city,31576.0
36,AL,Bayou La Batre city,34583.0
37,AL,Bear Creek town,35563.0
38,AL,Beatrice town,18417.0
39,AL,Beaverton town,31875.0
40,AL,Belgreen CDP,27750.0
41,AL,Belk town,28906.0
42,AL,Bellamy CDP,22132.0
43,AL,Belle Fontaine CDP,34615.0
44,AL,Benton town,40577.30952380953
45,AL,Berry town,25865.0
46,AL,Bessemer city,29615.0
47,AL,Billingsley town,41250.0
48,AL,Birmingham city,31061.0
49,AL,Black town,41071.0
50,AL,Blountsville town,30152.0
51,AL,Blue Ridge CDP,96333.0
52,AL,Blue Springs town,45313.0
53,AL,Boaz city,35974.0
54,AL,Boligee town,12173.0
55,AL,Bon Air town,23750.0
56,AL,Bon Secour CDP,40577.30952380953
57,AL,Boykin CDP,40577.30952380953
58,AL,Brantley town,27870.0
59,AL,Brantleyville CDP,40370.0
60,AL,Brent city,33924.0
61,AL,Brewton city,31033.0
62,AL,Bridgeport city,28571.0
63,AL,Brighton city,22146.0
