,Geographic Area,City,poverty_rate
0,AL,Abanda CDP,78.8
1,AL,Abbeville city,29.1
2,AL,Adamsville city,25.5
3,AL,Addison town,30.7
4,AL,Akron town,42.0
5,AL,Alabaster city,11.2
6,AL,Albertville city,26.7
7,AL,Alexander City city,30.4
8,AL,Alexandria CDP,9.7
9,AL,Aliceville city,41.3
10,AL,Allgood town,27.7
11,AL,Altoona town,27.5
12,AL,Andalusia city,24.5
13,AL,Anderson town,13.8
14,AL,Anniston city,31.7
15,AL,Arab city,16.7
16,AL,Ardmore town,19.1
17,AL,Argo town,8.6
18,AL,Ariton town,37.6
19,AL,Arley town,31.6
20,AL,Ashford town,18.8
21,AL,Ashland town,22.4
22,AL,Ashville city,28.3
23,AL,Athens city,13.0
24,AL,Atmore city,24.7
25,AL,Attalla city,20.3
26,AL,Auburn city,31.8
27,AL,Autaugaville town,24.1
28,AL,Avon town,22.2
29,AL,Axis CDP,6.8
30,AL,Babbie town,15.7
31,AL,Baileyton town,28.6
32,AL,Bakerhill town,19.1
33,AL,Ballplay CDP,7.1
34,AL,Banks town,38.2
35,AL,Bay Minette city,26.3
36,AL,Bayou La Batre city,30.1
37,AL,Bear Creek town,25.3
38,AL,Beatrice town,44.9
39,AL,Beaverton town,8.1
40,AL,Belgreen CDP,28.8
41,AL,Belk town,39.1
42,AL,Bellamy CDP,42.9
43,AL,Belle Fontaine CDP,36.7
44,AL,Benton town,0.0
45,AL,Berry town,30.9
46,AL,Bessemer city,32.9
47,AL,Billingsley town,20.5
48,AL,Birmingham city,30.9
49,AL,Black town,12.7
50,AL,Blountsville town,41.2
51,AL,Blue Ridge CDP,0.5
52,AL,Blue Springs town,4.0
53,AL,Boaz city,19.4
54,AL,Boligee town,60.3
55,AL,Bon Air town,47.6
56,AL,Bon Secour CDP,18.2
57,AL,Boykin CDP,53.7
58,AL,Brantley town,20.7
59,AL,Brantleyville CDP,19.2
60,AL,Brent city,17.3
61,AL,Brewton city,27.8
62,AL,Bridgeport city,34.7
63,AL,Brighton city,33.0
64,AL,Brilliant town,22.5
65,AL,Bristow Cove CDP,39.7
66,AL,Brook Highland CDP,11.5
67,AL,Brookside town,19.2
68,AL,Brookwood town,10.8
69,AL,Broomtown CDP,23.8
70,AL,Brundidge city,32.4
71,AL,Bucks CDP,0.0
72,AL,Butler town,25.3
73,AL,Calera city,5.8
74,AL,Calvert CDP,79.4
75,AL,Camden city,31.9
76,AL,Camp Hill town,36.6
77,AL,Carbon Hill city,32.2
78,AL,Cardiff town,30.0
79,AL,Carlisle-Rockledge CDP,17.2
80,AL,Carlton CDP,18.9
81,AL,Carolina town,7.4
82,AL,Carrollton town,29.1
83,AL,Castleberry town,39.6
84,AL,Catherine CDP,0.0
85,AL,Cedar Bluff town,25.8
86,AL,Center Point city,25.0
87,AL,Centre city,25.1
88,AL,Centreville city,22.4
89,AL,Chatom town,19.8
90,AL,Chelsea city,4.9
91,AL,Cherokee town,19.9
92,AL,Chickasaw city,33.6
93,AL,Childersburg city,38.6
94,AL,Choccolocco CDP,14.7
95,AL,Chunchula CDP,0.0
96,AL,Citronelle city,16.9
97,AL,Clanton city,16.9
98,AL,Clay city,6.6
99,AL,Clayhatchee town,16.4
100,AL,Clayton town,29.3
101,AL,Cleveland town,15.0
102,AL,Clio city,31.4
103,AL,Coaling town,19.5
104,AL,Coats Bend CDP,15.0
105,AL,Coffee Springs town,21.2
106,AL,Coffeeville town,41.3
107,AL,Coker town,10.0
108,AL,Collinsville town,32.1
109,AL,Colony town,24.8
110,AL,Columbia town,20.1
111,AL,Columbiana city,24.0
112,AL,Concord CDP,7.9
113,AL,Coosada town,23.5
114,AL,Cordova city,32.8
115,AL,Cottondale CDP,12.8
116,AL,Cottonwood town,29.8
117,AL,County Line town,10.7
118,AL,Courtland town,25.8
119,AL,Cowarts town,11.7
120,AL,Creola city,18.1
121,AL,Crossville town,38.1
122,AL,Cuba town,21.0
123,AL,Cullman city,21.9
124,AL,Cullomburg CDP,8.5
125,AL,Cusseta town,9.3
126,AL,Dadeville city,28.8
127,AL,Daleville city,24.5
128,AL,Daphne city,11.2
129,AL,Dauphin Island town,3.6
130,AL,Daviston town,12.9
131,AL,Dayton town,48.0
132,AL,Deatsville town,5.1
133,AL,Decatur city,21.2
134,AL,Deer Park CDP,28.1
135,AL,Delta CDP,0.0
136,AL,Demopolis city,31.0
137,AL,Detroit town,27.9
138,AL,Dodge City town,16.7
139,AL,Dora city,17.2
140,AL,Dothan city,19.1
141,AL,Double Springs town,27.5
142,AL,Douglas town,34.9
143,AL,Dozier town,30.3
144,AL,Dunnavant CDP,7.7
145,AL,Dutton town,24.2
146,AL,East Brewton city,30.6
147,AL,East Point CDP,0.0
148,AL,Eclectic town,13.4
149,AL,Edgewater CDP,26.5
150,AL,Edwardsville town,5.1
151,AL,Egypt CDP,4.5
152,AL,Elba city,31.1
153,AL,Elberta town,15.8
154,AL,Eldridge town,37.8
155,AL,Elkmont town,11.2
156,AL,Elmore town,30.0
157,AL,Emelle town,0.0
158,AL,Emerald Mountain CDP,8.2
159,AL,Enterprise city,16.3
160,AL,Epes town,24.8
161,AL,Ethelsville town,32.3
162,AL,Eufaula city,25.3
163,AL,Eunola CDP,0.0
164,AL,Eutaw town,32.7
165,AL,Eva town,11.1
166,AL,Evergreen city,52.6
167,AL,Excel town,18.6
168,AL,Fairfield city,23.4
169,AL,Fairford CDP,0.0
170,AL,Fairhope city,11.2
171,AL,Fairview town,24.0
172,AL,Falkville town,26.0
173,AL,Faunsdale town,30.2
174,AL,Fayette city,25.9
175,AL,Fayetteville CDP,15.3
176,AL,Fitzpatrick CDP,15.5
177,AL,Five Points town,20.4
178,AL,Flomaton town,30.2
179,AL,Florala town,30.1
180,AL,Florence city,24.6
181,AL,Foley city,18.9
